title,type,releasedate,developer,publisher,category
Startup Company,game,8/11/2017,Hovgaard Games,Hovgaard Games,low_1000
Tanki X,game,3/13/2018,AlternativaPlatform,AlternativaPlatform Ltd,low_1000
Last Tale,game,3/16/2017,YarGri,YarGri,low_1000
KROSMAGA,game,4/12/2017,Ankama Studio,Ankama Games,low_1000
The Jackbox Party Pack 4,game,10/18/2017,Jackbox Games,Jackbox Games,low_1000
Alchemyland,game,8/2/2017,azimut team,azimut team,low_1000
Quake Champions,game,8/22/2017,id Software,Bethesda Softworks,low_1000
Dishonored: Death of the Outsider,game,9/14/2017,Arkane Studios,Bethesda Softworks,low_1000
XAOC,game,8/3/2017,WindThunder Studio,Winking International ,low_1000
Crimson Earth,game,6/10/2017,EHTechnology,EHTechnology,low_1000
Ultimate Epic Battle Simulator,game,6/1/2017,Brilliant Game Studios,Brilliant Game Studios,low_1000
SUPERHOT VR,game,5/25/2017,SUPERHOT Team,SUPERHOT Team,low_1000
SOS,game,1/23/2018,Outpost Games,Outpost Games,low_1000
Ways of History,game,9/1/2017,Glyph Worlds,Glyph Worlds,low_1000
Conjuntalia,game,7/27/2017,NEZOS GAMES,NEZOS GAMES,low_1000
Fluffy Creatures VS The World,game,4/9/2017,Amaterasu Software,Amaterasu Software,low_1000
Just Cause 3: Multiplayer Mod,game,7/20/2017,nanos GbR,nanos GbR,low_1000
Chaos Town,game,5/29/2017,QuickSave,QuickSave,low_1000
Invisibox,game,10/18/2017,Retrific,Retrific,low_1000
WRC 7,game,9/15/2017,KT Racing,Bigben Interactive,low_1000
Phoenix Dynasty 2,game,6/8/2018,Ntroy LTD,Ntroy LTD,low_1000
Bendy and the Ink Machine,game,4/27/2017,Joey Drew Studios Inc,Joey Drew Studios Inc,low_1000
P-Walkers Simulation,game,5/24/2017,BrainStrainStudios,BrainStrainStudios,low_1000
Timen runner,game,5/26/2017,REX PEX GAMES,REX PEX GAMES,low_1000
Office Space: Idle Profits,game,10/18/2017,Ultrabit,Kongregate,low_1000
Employee Recycling Center,game,5/15/2017,Idea Cabin,Idea Cabin,low_1000
Alien Swarm,game,7/19/2010,Valve,Valve,low_1000
Fight or Die 2,game,6/8/2017,Vyacheslav Shilikhin,Vyacheslav Shilikhin,low_1000
Hobo: Tough Life,game,7/25/2017,Perun Creative,Perun Creative,low_1000
Tannenberg,game,11/16/2017,Blackmill Games,M2H,low_1000
Sniper Elite V2,game,5/3/2012,Rebellion,Rebellion,low_1000
Lone Warrior,game,9/16/2017,EHTechnology,EHTechnology,low_1000
Cattails,game,12/1/2017,Falcon Development,Falcon Development,low_1000
Distrust,game,8/23/2017,Cheerdealers,Alawar Premium,low_1000
CarX Drift Racing Online,game,11/17/2017,CarX Technologies,CarX Technologies,low_1000
Pixel Worlds,game,6/8/2017,Kukouri Mobile Entertainment,Kukouri Mobile Entertainment,low_1000
Sonic Forces,game,11/7/2017,Sonic Team,SEGA,low_1000
IL-2 Sturmovik: Cliffs of Dover,game,7/19/2011,1C: Maddox Games,1C Entertainment,low_1000
Men of War: Assault Squad,game,2/24/2011,Digitalmindsoft,1C Entertainment,low_1000
The LEGO NINJAGO Movie Video Game,game,9/22/2017,Traveller s Tales / TT Games,Warner Bros Interactive Entertainment,low_1000
Mirror,game,4/19/2018,KAGAMI WORKs,Paradise Project,low_1000
Material Girl,game,6/20/2017,Dieselmine,Paradise Project,low_1000
They Are Billions,game,12/12/2017,Numantian Games,Numantian Games,low_1000
Hand of the Gods,game,2/20/2018,Hi-Rez Studios,Hi-Rez Studios,low_1000
Mini Guns,game,11/2/2017,Riposte Games & Co Inc,Riposte Games & Co,low_1000
DOOM VFR,game,11/30/2017,id Software,Bethesda Softworks,low_1000
Dream Daddy: A Dad Dating Simulator,game,7/20/2017,Game Grumps,Game Grumps,low_1000
Gothic,game,3/15/2001,Piranha Bytes,THQ Nordic,low_1000
Project 5: Sightseer,game,12/4/2017,Tasharen Entertainment Inc,Tasharen Entertainment Inc,low_1000
Dungeon Defenders,game,10/18/2011,Trendy Entertainment,Trendy Entertainment,low_1000
ClickRaid,game,10/20/2017,Slikey Games,Slikey Games,low_1000
Valnir Rok,game,9/26/2017,encurio,encurio,low_1000
RiotZ,game,7/6/2017,Triple Rush Games,Triple Rush Games,low_1000
Metro Conflict: The Origin,game,12/13/2017,RED DUCK,RED DUCK,low_1000
WWE 2K18,game,10/17/2017,Visual Concepts / Yukes Co,2K,low_1000
Comedy Night,game,8/24/2017,Lighthouse Games Studio,Lighthouse Games Studio,low_1000
Sky Force Reloaded,game,11/29/2017,Infinite Dreams,Infinite Dreams,low_1000
Tricolour Lovestory,game,9/20/2017,HL-Galgame,SakuraGame,low_1000
Airport CEO,game,9/28/2017,Apoapsis Studios,Apoapsis Studios,low_1000
Batman: The Enemy Within - The Telltale Series,game,8/8/2017,Telltale Games,Telltale Games,low_1000
RollerCoaster Tycoon Classic,game,9/28/2017,Origin8 Technologies Ltd,Atari,low_1000
Hitman: Blood Money,game,3/15/2007,Io-Interactive A/S,Io-Interactive A/S,low_1000
Black Survival,game,3/19/2019,OolBlue Inc,OolBlue Inc,low_1000
My Free Zoo,game,11/28/2017,upjers,upjers,low_1000
Idle Bouncer,game,9/27/2017,Upturn Games,Upturn Games,low_1000
Castle Clicker,game,10/2/2017,Autotelic Games LLC,Autotelic Games LLC,low_1000
DeathComing,game,11/6/2017,NEXT Studios,NEXT Studios,low_1000
Tactical Monsters Rumble Arena,game,1/31/2018,Camex Games,Camex Games,low_1000
Sonic Generations,game,11/3/2011,Devils Details,SEGA,low_1000
Urban Rivals,game,10/18/2017,Acute Games,Acute Games,low_1000
Reigns: Her Majesty,game,12/6/2017,Nerial,Devolver Digital,low_1000
Hold Your Own,game,11/30/2017,DistrictWare inc,DistrictWare inc,low_1000
TrackMania United,game,4/16/2008,Nadeo,Ubisoft,low_1000
The Pirate: Plague of the Dead,game,10/13/2017,Home Net Games,Home Net Games,low_1000
Scream Collector,game,10/26/2017,PuzzleRoo,PuzzleRoo,low_1000
Darkest Hour: A Hearts of Iron Game,game,4/8/2011,Martin Ivanov,Paradox Interactive,low_1000
Superflight,game,11/8/2017,GrizzlyGames,GrizzlyGames,low_1000
Red Crucible: Reloaded,game,11/22/2017,Rocketeer Games Studio,Rocketeer Games Studio,low_1000
BattleRush,game,3/27/2018,Thunder Devs,Thunder Devs,low_1000
Project Rhombus,game,12/7/2017,SEROSOO,PsychoFlux Entertainment,low_1000
Mobile Empire,game,1/25/2018,Shanghai huan zhen Info Tech Ltd,XD Network Inc,low_1000
Chicken Farm 2K17,game,12/5/2017,Jakal Studios,Jakal Studios,low_1000
STAND OUT,game,12/8/2017,raptor lab,raptor lab,low_1000
Two Worlds II,game,2/3/2011,Reality Pump Studios,Topware Interactive,low_1000
Sid Meiers Railroads!,game,5/4/2007,Firaxis Games,2K,low_1000
BioShock,game,8/21/2007,2K Boston,2K,low_1000
Bejeweled 3,game,12/7/2010,PopCap Games,PopCap Games,low_1000
Call of Duty 4: Modern Warfare,game,11/21/2007,Infinity Ward,Activision,low_1000
Just Cause 2,game,3/23/2010,Avalanche Studios,Square Enix,low_1000
RAGE,game,10/3/2011,id Software,Bethesda Softworks,low_1000
Supreme Commander,game,9/28/2011,Gas Powered Games,Square Enix,low_1000
Saints Row 2,game,1/7/2009,Volition,Deep Silver,low_1000
Champions Online,game,6/14/2011,Cryptic Studios,Perfect World Entertainment,low_1000
Spiral Knights,game,6/14/2011,Grey Havens,Grey Havens,low_1000
,,,,,top_1000
,,,,,low_1000
,,,,,total
