Date,Time,player_count,title
9/21/2023,20:30,2412611,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:31,2412611,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:32,2387446,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:33,2387446,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:34,2387446,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:35,2387446,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:36,2387446,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:37,2359688,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:38,2359688,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:39,2359688,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:40,2359688,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:41,2359688,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:42,2331702,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:43,2331702,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:44,2331702,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:45,2331702,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:46,2331702,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:47,2305420,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:48,2305420,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:49,2305420,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:50,2305420,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:51,2305420,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:52,2279349,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:53,2279349,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:54,2279349,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:55,2279349,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:56,2279349,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:57,2252528,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:58,2252528,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,20:59,2252528,PLAYERUNKNOWNS BATTLEGROUNDS
